Source Titles	records	% of 1289
IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND GAMES	2	0.155
IEEE INTELLIGENT VEHICLES SYMPOSIUM	2	0.155
IEEE INTERNATIONAL FUZZY SYSTEMS CONFERENCE PROCEEDINGS	2	0.155
IMAGE ANALYSIS AND RECOGNITION ICIAR 2017	2	0.155
INTELLIGENCE SCIENCE AND BIG DATA ENGINEERING ISCIDE 2017	2	0.155
INTELLIGENT COMPUTING THEORIES AND APPLICATION ICIC 2017 PT I	2	0.155
INTELLIGENT DATA ANALYSIS	2	0.155
INTERNATIONAL CONFERENCE ON ASIAN LANGUAGE PROCESSING	2	0.155
INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS	2	0.155
INTERNATIONAL CONFERENCE ON IMAGE AND VISION COMPUTING NEW ZEALAND	2	0.155
INTERNATIONAL CONFERENCE ON KNOWLEDGE AND SYSTEMS ENGINEERING	2	0.155
INTERNATIONAL CONFERENCE ON UBIQUITOUS ROBOTS AND AMBIENT INTELLIGENCE	2	0.155
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	2	0.155
INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DESIGN	2	0.155
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS	2	0.155
JOURNAL OF INTELLIGENT ROBOTIC SYSTEMS	2	0.155
KDD 17 PROCEEDINGS OF THE 23RD ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING	2	0.155
KNOWLEDGE SCIENCE ENGINEERING AND MANAGEMENT KSEM 2015	2	0.155
LECTURE NOTES IN COMPUTATIONAL VISION AND BIOMECHANICS	2	0.155
MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES PT I	2	0.155
MACHINE LEARNING IN MEDICAL IMAGING MLMI 2013	2	0.155
MACHINE LEARNING MEETS MEDICAL IMAGING	2	0.155
MEMETIC COMPUTING	2	0.155
NATIONAL CONFERENCE ON COMPUTER VISION PATTERN RECOGNITION IMAGE PROCESSING AND GRAPHICS	2	0.155
NEURAL INFORMATION PROCESSING ICONIP 2012 PT I	2	0.155
NEURAL INFORMATION PROCESSING ICONIP 2012 PT III	2	0.155
NEURAL INFORMATION PROCESSING ICONIP 2014 PT I	2	0.155
NEURAL INFORMATION PROCESSING ICONIP 2015 PT IV	2	0.155
NEURAL INFORMATION PROCESSING PT I	2	0.155
NEURAL PROCESSING LETTERS	2	0.155
PATTERN ANALYSIS AND APPLICATIONS	2	0.155
PATTERN RECOGNITION AND IMAGE ANALYSIS IBPRIA 2017	2	0.155
PATTERN RECOGNITION AND MACHINE INTELLIGENCE PREMI 2017	2	0.155
PATTERN RECOGNITION CCPR 2016 PT II	2	0.155
PRICAI 2014 TRENDS IN ARTIFICIAL INTELLIGENCE	2	0.155
PROCEDIA COMPUTER SCIENCE	2	0.155
PROCEEDINGS 3RD IAPR ASIAN CONFERENCE ON PATTERN RECOGNITION ACPR 2015	2	0.155
PROCEEDINGS OF THE 12TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS VISIGRAPP 2017 VOL 5	2	0.155
PROCEEDINGS OF THE 36TH CHINESE CONTROL CONFERENCE CCC 2017	2	0.155
PROCEEDINGS OF THE BRITISH MACHINE VISION CONFERENCE 2012	2	0.155
