Source Titles	records	% of 1289
PROCEEDINGS OF THE 2017 SEVENTH INTERNATIONAL CONFERENCE ON IMAGE PROCESSING THEORY TOOLS AND APPLICATIONS IPTA 2017	1	0.078
PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON CROWD SCIENCE AND ENGINEERING ICCSE 2018	1	0.078
PROCEEDINGS OF THE BRITISH MACHINE VISION CONFERENCE 2013	1	0.078
PROCEEDINGS OF THE EIGHTEENTH INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS AROB 18TH 13	1	0.078
PROCEEDINGS OF THE FIFTEENTH IAPR INTERNATIONAL CONFERENCE ON MACHINE VISION APPLICATIONS MVA2017	1	0.078
PROCEEDINGS OF THE SEVENTEENTH INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS AROB 17TH 12	1	0.078
PROGRESS IN ARTIFICIAL INTELLIGENCE EPIA 2017	1	0.078
PROGRESS IN MECHATRONICS AND INFORMATION TECHNOLOGY PTS 1 AND 2	1	0.078
PROGRESS IN PATTERN RECOGNITION IMAGE ANALYSIS COMPUTER VISION AND APPLICATIONS CIARP 2016	1	0.078
RECENT ADVANCES IN ARTIFICIAL INTELLIGENCE RESEARCH AND DEVELOPMENT	1	0.078
ROBOCUP 2013 ROBOT WORLD CUP XVII	1	0.078
ROBOT 2017 THIRD IBERIAN ROBOTICS CONFERENCE VOL 2	1	0.078
ROUGH SETS AND KNOWLEDGE TECHNOLOGY RSKT 2014	1	0.078
SECOND EUROPEAN NETWORK INTELLIGENCE CONFERENCE ENIC 2015	1	0.078
SECOND INTERNATIONAL WORKSHOP ON PATTERN RECOGNITION	1	0.078
SEVENTH INTERNATIONAL CONFERENCE ON MACHINE VISION ICMV 2014	1	0.078
SIGNAL PROCESSING AND COMMUNICATIONS APPLICATIONS CONFERENCE	1	0.078
SIMILARITY BASED PATTERN RECOGNITION	1	0.078
SIMILARITY BASED PATTERN RECOGNITION FIRST INTERNATIONAL WORKSHOP SIMBAD 2011	1	0.078
SIXTH INTERNATIONAL SYMPOSIUM ON NEURAL NETWORKS ISNN 2009	1	0.078
SMART DIGITAL FUTURES 2014	1	0.078
SOCIAL MEDIA PROCESSING SMP 2015	1	0.078
SOCIAL MEDIA PROCESSING SMP 2017	1	0.078
SOFTWARE ENGINEERING AND ALGORITHMS IN INTELLIGENT SYSTEMS	1	0.078
SPRINGER TRACTS IN ADVANCED ROBOTICS	1	0.078
TENTH INDIAN CONFERENCE ON COMPUTER VISION GRAPHICS AND IMAGE PROCESSING ICVGIP 2016	1	0.078
TEXT SPEECH AND DIALOGUE TSD 2015	1	0.078
TEXT SPEECH AND DIALOGUE TSD 2017	1	0.078
TRENDS AND APPLICATIONS IN SOFTWARE ENGINEERING CIMPS 2018	1	0.078
TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES	1	0.078
UNCERTAINTY MODELLING IN KNOWLEDGE ENGINEERING AND DECISION MAKING	1	0.078
WEB AGE INFORMATION MANAGEMENT PT I	1	0.078
WEB AND BIG DATA APWEB WAIM 2017 PT II	1	0.078
WEB INTELLIGENCE	1	0.078
WILEY INTERDISCIPLINARY REVIEWS DATA MINING AND KNOWLEDGE DISCOVERY	1	0.078
WORLD SUMMIT ON GENETIC AND EVOLUTIONARY COMPUTATION GEC 09	1	0.078
(577 Source Titles {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
