Authors	records	% of 1289
BLUMENSTEIN M	1	0.078
BOCSI B	1	0.078
BOGGAVARAPU LNP	1	0.078
BOHNE J	1	0.078
BONAZZA P	1	0.078
BONET B	1	0.078
BONINI RC	1	0.078
BORDES A	1	0.078
BORJI A	1	0.078
BOTZHEIM J	1	0.078
BOUFENAR C	1	0.078
BOULARIAS A	1	0.078
BOULET B	1	0.078
BOUMHIDI J	1	0.078
BOVOLO F	1	0.078
BOWDEN R	1	0.078
BOYER S	1	0.078
BRADLEY AP	1	0.078
BRETAS A	1	0.078
BRIDEWELL W	1	0.078
BRIJACAK I	1	0.078
BRITTO AS	1	0.078
BROADWAY M	1	0.078
BROWN LE	1	0.078
BRUCKNER M	1	0.078
BRUNA J	1	0.078
BRUNO OM	1	0.078
BRYS T	1	0.078
BU JJ	1	0.078
BU SJ	1	0.078
BUCHWALD F	1	0.078
BUDAK U	1	0.078
BUENO LDE	1	0.078
BUNEL R	1	0.078
BURGARD W	1	0.078
BURM M	1	0.078
BURWICK T	1	0.078
BUSLAEV A	1	0.078
BUSSAS M	1	0.078
BUSSEY D	1	0.078
BUTNARU R	1	0.078
BYRNS D	1	0.078
CADIK M	1	0.078
CAHILL V	1	0.078
CAI BL	1	0.078
CAI D	1	0.078
CAI GY	1	0.078
CAI L	1	0.078
CAI LH	1	0.078
CAI MN	1	0.078
CAI XD	1	0.078
CAI YG	1	0.078
CAI YY	1	0.078
CAIAZZO A	1	0.078
CAICEDO JC	1	0.078
CALDWELL D	1	0.078
CAMBRA A	1	0.078
CAMGOZ NC	1	0.078
CAMPEAU-LECOURS A	1	0.078
CAMPR P	1	0.078
CAO BB	1	0.078
CAO G	1	0.078
CAO GT	1	0.078
CAO JJ	1	0.078
CAO LB	1	0.078
CAO QM	1	0.078
CAO TY	1	0.078
CAO XB	1	0.078
CAO XD	1	0.078
CAO YH	1	0.078
CAO ZJ	1	0.078
CARDAMONE L	1	0.078
CARDENAS RAM	1	0.078
CARLSSON S	1	0.078
CARNEIRO G	1	0.078
CARPENTER AE	1	0.078
CARVALHO M	1	0.078
CASAS D	1	0.078
CASTANEDA B	1	0.078
CASTILLO C	1	0.078
CASTILLO I	1	0.078
CATS O	1	0.078
CAVALIN PR	1	0.078
CAVEDON L	1	0.078
CELNIKER G	1	0.078
CETIN M	1	0.078
CHAHAL N	1	0.078
CHAHYATI D	1	0.078
CHAIB-DRAA B	1	0.078
CHAMARET C	1	0.078
CHAN KP	1	0.078
CHAN PPK	1	0.078
CHANDAR S	1	0.078
CHANG FJ	1	0.078
CHANG H	1	0.078
CHANG XJ	1	0.078
CHANG YJ	1	0.078
CHAO WL	1	0.078
CHARLES J	1	0.078
CHAU VTN	1	0.078
CHELLAPPA R	1	0.078
CHEN AP	1	0.078
CHEN BY	1	0.078
CHEN CLP	1	0.078
CHEN CT	1	0.078
CHEN CW	1	0.078
CHEN CY	1	0.078
CHEN DM	1	0.078
CHEN GC	1	0.078
CHEN HQ	1	0.078
CHEN JW	1	0.078
CHEN K	1	0.078
CHEN KJ	1	0.078
CHEN KX	1	0.078
